03.10.2018;03.10.2018;Tag der deutschen Einheit;2018/19
27.10.2018;04.11.2018;Allerheiligenferien;2018/19
21.11.2018;21.11.2018;Buß- und Bettag;2018/19
22.12.2018;06.01.2019;Weihnachtsferien;2018/19
02.03.2019;10.03.2019;Faschingsferien;2018/19
13.04.2019;28.04.2019;Osterferien;2018/19
01.05.2019;01.05.2019;Tag der Arbeit;2018/19
08.06.2019;23.06.2019;Pfingstferien;2018/19
27.07.2019;09.09.2019;Sommerferien;2018/19
